City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,colonia,50.9333,6.95,10.03000000000003,81,75,5.66,DE,1699712457
300,naracoorte,-36.9579,140.7383,6.150000000000034,95,23,3.09,AU,1699712601
301,kupang,-10.1667,123.5833,28.32000000000005,83,52,1.03,ID,1699712602
302,tulcingo de valle,18.05,-98.4333,20.870000000000005,78,23,0.77,MX,1699712602
303,cole harbour,44.6724,-63.4751,6.090000000000032,86,98,4.63,CA,1699712603
304,kruisfontein,-34.0033,24.7314,20.430000000000007,56,0,10.64,ZA,1699712603
305,at taraf,25.3628,49.725,29.30000000000001,43,100,4.49,SA,1699712604
306,fort bragg,35.139,-79.006,10.810000000000002,88,100,2.06,US,1699712604
307,kargopol',61.5071,38.9456,2.7600000000000477,98,100,1.65,RU,1699712605
308,najran,17.4924,44.1277,24.360000000000014,30,30,6.23,SA,1699712398
309,tsiombe,-25.3,45.4833,23.82000000000005,52,0,6.97,MG,1699712607
310,saquarema,-22.92,-42.5103,27.02000000000004,65,7,4.1,BR,1699712607
311,lihue,21.9789,-159.3672,23.77000000000004,88,100,6.69,US,1699712313
312,bardai,11.65,7.2333,34.650000000000034,13,74,3.15,NG,1699712608
313,longboat key,27.4125,-82.659,28.390000000000043,65,0,2.06,US,1699712609
314,galveston,29.3669,-94.9669,15.0,91,100,6.17,US,1699712316
315,bokhan,53.153,103.7714,-13.159999999999968,89,6,1.79,RU,1699712610
316,as suwayq,23.8494,57.4386,27.650000000000034,55,62,2.93,OM,1699712611
317,vernon,50.2581,-119.2691,9.200000000000045,62,100,2.57,CA,1699712611
318,banamba,13.55,-7.45,37.150000000000034,11,97,3.66,ML,1699712612
319,maloye ganyushkino,46.6,49.2667,8.700000000000045,51,9,1.07,KZ,1699712612
320,shiguai,40.7058,110.2856,-8.339999999999975,26,0,3.08,CN,1699712613
321,monroe,43.1501,-77.6831,4.830000000000041,74,100,3.6,US,1699712428
322,saldanha,-33.0117,17.9442,22.03000000000003,75,36,5.81,ZA,1699712614
323,ocean city,39.2776,-74.5746,7.210000000000036,88,100,2.24,US,1699712540
324,ko pha ngan,9.7578,100.0291,24.379999999999995,86,100,3.9,TH,1699712615
325,duzce,40.8389,31.1639,23.650000000000034,35,41,5.96,TR,1699712616
326,nabire,-3.3667,135.4833,25.950000000000045,88,100,1.58,ID,1699712617
327,al wajh,26.2455,36.4525,29.970000000000027,66,0,5.14,SA,1699712617
328,onega,63.9061,38.1404,-0.39999999999997726,95,100,2.27,RU,1699712618
